Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2014,"12        ",Male,18,Right-Handed,178,25,175,1,Car,6,0.33,37,Baseball/Softball,200,,,,300,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2019,"12        ",Male,19,Right-Handed,185,27,191,2,Walk,2,0.29,45,Soccer,420,69,900,666,888,950,28,"Left foot",88,93,"Index finger",May,Spring,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,12,4,"Yes - other","Text messaging",200,200,13,10,10,0,5,0,10,10,10,0,15,5,Some,"Graduate degree",Pop,"Freeze time",Rich,Actor,Health
USA,MO,2017,"6         ",Male,13,Ambidextrous,152,9,25,1,Bus,30,0.504,75,Running/Jogging,,,1000,,,,44,"Same length",81,125,"Ring finger",October,Fall,No,No,Other,Tea,Science,7,10,5,"Yes - other","In person",0,0,,,,30,,35,,,,10,,20,Some,"Some college",Other,"Super strength",Healthy,Friend,"Education/Youth development"
USA,MO,2015,"12        ",Male,17,Right-Handed,157,21,154,1,Car,6,.683,75,Running/Jogging,600,100,90,200,5,5,23,"Left foot",85,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2017,"11        ",Male,16,Right-Handed,193,31,168,1,Car,40,0.339,58,None,750,600,750,900,600,600,31,"Same length",127,126,"Index finger",November,Fall,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Mathematics and statistics",8,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,2,8,0.2,10,5,9,15,9,0,15,6,0,4,Some,"Graduate degree",Country,"Freeze time",Happy,Friend,Health
USA,MO,2018,"7         ",Male,13,Right-Handed,153,25,149,1,Car,10,.748,76,Basketball,500,500,400,1000,1000,1000,25,"Right foot",83,85,"Ring finger",April,Summer,No,No,Meat,Juice,"Physical education",,,2,"Yes - other","In person",0,5,3,1,5,50,6,7,10,3,4,10,5,3,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Actor,"Arts, culture, sports"
USA,MO,2017,"12        ",Male,17,Right-Handed,180,42,,2,Car,10,0.478,50,Soccer,1000,100,800,800,700,1000,,,,,,October,Winter,No,No,Meat,Water,,7,10,3,"Yes - broadband connection","Text messaging",,,9,3,1,5,8,3,9,5,7,12,7,2,"Very little","Undergraduate degree","Rap/Hip hop","Freeze time",Happy,"Business person",Health
USA,MO,2018,"12        ",Male,16,Right-Handed,179,28,193,1,Car,8,0.322,36,Tennis,800,900,400,600,1000,800,28,"Same length",10,"10 ","Same length",August,Winter,No,No,Meat,Milk,History,7,10,4,"Yes - broadband connection","In person",12,14,6,1,10,4,7,2,4,1,5,2,1,2,"A lot","Undergraduate degree",Classical,"Super strength",Happy,"Sports person","Education/Youth development"
USA,MO,2016,"9         ",Male,13,Right-Handed,74,28,176,1,Car,15,.689,55,Baseball/Softball,128,102,0,519,0,385,26,"Right foot",84,88,"Ring finger",December,Fall,No,No,Meat,Water,"Physical education",9,7,4,"No internet connection","Cell phone",30,35,24,0,0,8,10,0,0,2,0,5,20,1,"Very little","Some college",Country,Telepathy,Happy,"Sports person",Health
USA,MO,2014,"12        ",Male,18,Right-Handed,188,28,188,1,Car,2,.12,40,Baseball/Softball,0,0,0,0,1000,1000,28,"Same length",100,100,"Same length",December,Summer,Yes,No,"Rice/Noodle dishes",Milk,"Physical education",8,10,2,"Yes - broadband connection","Text messaging",50,51,15,1,6,1,25,1,3,8,20,20,0,2,"A lot","Undergraduate degree","Rap/Hip hop",Fly,Rich,"Sports person","Education/Youth development"
