geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US63132,63132,5348,337,263,124,152,97,238,117,106,69,239,97,329,143,299,184,318,153,280,169,497,155,524,166,494,162,423,127,315,108,321,92,550,119
86000US63133,63133,3132,218,797,226,311,112,275,103,338,93,305,93,195,62,111,55,144,68,91,54,211,79,171,63,64,31,34,31,40,30,27,26,18,16
86000US63134,63134,5290,308,355,149,226,100,368,158,499,181,446,139,425,195,351,137,241,101,411,192,597,178,731,194,420,160,145,72,28,30,40,31,7,15
86000US63135,63135,8282,370,708,193,358,122,559,188,515,187,489,137,532,171,414,171,571,145,543,169,578,141,882,212,946,209,555,140,397,130,128,63,107,72
86000US63136,63136,18208,648,1864,306,1461,270,2111,438,1389,282,1322,269,1509,335,1211,262,979,222,937,218,1232,293,1624,335,1388,251,709,218,251,113,156,74,65,49
86000US63137,63137,7129,363,592,179,381,98,619,203,308,102,669,198,599,194,383,145,295,93,428,169,637,185,886,232,692,206,350,129,101,52,50,40,139,105
86000US63138,63138,7122,374,656,212,428,171,523,204,470,179,430,142,628,205,504,153,362,159,380,127,597,178,630,193,508,133,421,156,287,136,154,114,144,76
86000US63140,63140,122,41,30,18,18,13,8,10,13,13,10,10,13,16,7,8,9,12,2,4,1,3,4,4,5,8,2,3,0,11,0,11,0,11
86000US63141,63141,8652,304,161,85,99,63,150,101,210,99,271,120,241,89,250,104,197,93,286,120,519,139,585,170,941,207,834,172,498,124,1061,176,2349,263
86000US63143,63143,4977,224,390,124,259,98,420,150,274,106,324,120,272,103,202,75,304,107,324,119,349,102,385,93,745,166,307,97,98,52,155,72,169,95
86000US63144,63144,4336,177,181,115,78,61,113,63,134,94,65,45,143,65,61,49,130,74,202,120,422,122,518,135,633,181,616,153,308,141,266,87,466,129
86000US63146,63146,14102,364,577,168,395,131,393,143,452,162,693,193,653,156,699,201,603,157,721,170,1066,194,1498,236,1637,260,1583,261,1045,210,1063,183,1024,233
86000US63147,63147,3804,255,740,210,293,97,327,150,244,110,284,150,309,114,191,100,192,72,170,102,382,110,239,84,257,120,130,74,11,16,22,24,13,17
86000US63304,63304,15061,408,362,151,61,48,210,94,236,114,329,103,412,135,364,119,648,176,541,160,887,164,1555,270,2347,239,2054,252,1710,243,1710,225,1635,215
