geoid,name,B07009001,"B07009001, Error",B07009002,"B07009002, Error",B07009003,"B07009003, Error",B07009004,"B07009004, Error",B07009005,"B07009005, Error",B07009006,"B07009006, Error",B07009007,"B07009007, Error",B07009008,"B07009008, Error",B07009009,"B07009009, Error",B07009010,"B07009010, Error",B07009011,"B07009011, Error",B07009012,"B07009012, Error",B07009013,"B07009013, Error",B07009014,"B07009014, Error",B07009015,"B07009015, Error",B07009016,"B07009016, Error",B07009017,"B07009017, Error",B07009018,"B07009018, Error",B07009019,"B07009019, Error",B07009020,"B07009020, Error",B07009021,"B07009021, Error",B07009022,"B07009022, Error",B07009023,"B07009023, Error",B07009024,"B07009024, Error",B07009025,"B07009025, Error",B07009026,"B07009026, Error",B07009027,"B07009027, Error",B07009028,"B07009028, Error",B07009029,"B07009029, Error",B07009030,"B07009030, Error",B07009031,"B07009031, Error",B07009032,"B07009032, Error",B07009033,"B07009033, Error",B07009034,"B07009034, Error",B07009035,"B07009035, Error",B07009036,"B07009036, Error"
86000US63120,63120,5390,510,1290,296,2246,332,1528,294,209,88,117,69,4923,480,1218,286,2069,318,1347,262,202,87,87,53,135,63,50,40,56,42,29,29,0,15,0,15,280,136,0,15,121,85,152,111,7,10,0,15,52,54,22,31,0,15,0,15,0,15,30,46,0,15,0,15,0,15,0,15,0,15,0,15
86000US63121,63121,16971,730,2371,378,5504,542,5595,464,1915,256,1586,240,14903,791,2148,366,4679,510,4871,425,1706,235,1499,233,1129,292,80,58,556,224,366,135,106,71,21,19,528,188,93,60,92,90,260,111,53,40,30,23,344,138,12,21,174,77,94,63,45,31,19,22,67,49,38,42,3,4,4,9,5,8,17,14
86000US63122,63122,27586,487,696,131,2804,340,5777,410,9806,413,8503,478,24640,543,593,107,2512,336,5182,378,8838,422,7515,492,1792,361,90,73,239,106,312,117,554,144,597,213,447,131,9,16,19,20,102,67,149,67,168,86,611,162,4,6,20,18,152,83,228,100,207,91,96,51,0,23,14,17,29,25,37,26,16,18
86000US63123,63123,37141,705,3454,471,9552,563,11927,600,8095,504,4113,408,33606,777,3193,437,8808,599,10717,591,7133,458,3755,389,2027,353,119,80,362,127,689,196,694,211,163,84,954,264,71,103,248,108,386,142,129,61,120,56,453,169,71,68,90,81,124,76,93,59,75,55,101,108,0,26,44,59,11,13,46,57,0,26
86000US63124,63124,7919,404,111,83,482,301,1259,303,2734,321,3333,396,6784,401,86,71,301,145,1218,300,2415,292,2764,337,780,367,0,17,168,266,15,22,145,92,452,225,48,41,0,17,3,3,1,4,0,17,44,41,235,174,25,41,10,16,0,17,174,163,26,31,72,74,0,17,0,17,25,26,0,17,47,69
86000US63125,63125,23833,832,2947,363,7817,626,7553,688,3761,486,1755,302,20921,939,2478,392,7111,621,6571,695,3243,418,1518,306,1519,376,197,78,343,148,647,253,291,150,41,37,987,289,234,169,246,108,250,113,137,97,120,86,294,168,20,27,98,85,68,65,32,33,76,68,112,95,18,28,19,30,17,26,58,71,0,23
86000US63126,63126,10782,405,445,194,1993,254,3179,360,3053,285,2112,243,9689,376,422,192,1853,236,2876,332,2678,272,1860,240,452,168,9,14,80,59,133,94,132,96,98,62,418,132,14,15,37,34,82,51,171,82,114,73,196,107,0,17,23,35,73,76,72,51,28,31,27,30,0,17,0,17,15,18,0,17,12,17
86000US63127,63127,3601,236,116,62,815,143,853,153,1068,156,749,134,3189,255,106,61,653,137,798,148,939,150,693,124,312,120,10,11,149,88,40,30,76,47,37,44,62,49,0,11,13,16,0,11,41,42,8,12,25,35,0,11,0,11,2,4,12,18,11,17,13,20,0,11,0,11,13,20,0,11,0,11
86000US63128,63128,22190,606,1080,252,5358,589,6485,554,5993,505,3274,340,20138,575,946,231,5053,540,5927,550,5345,460,2867,354,1147,303,82,84,167,91,242,87,453,207,203,101,585,221,20,33,83,63,259,161,145,110,78,79,287,135,32,31,40,40,57,55,32,36,126,81,33,36,0,20,15,22,0,20,18,30,0,20
86000US63129,63129,38438,964,1726,261,9599,708,12418,818,9425,646,5270,495,34577,842,1592,242,8457,646,11177,742,8631,668,4720,439,2343,495,74,69,783,248,733,228,550,214,203,102,954,252,35,31,222,126,435,189,110,98,152,97,435,166,25,39,42,33,73,50,115,69,180,124,129,123,0,26,95,105,0,26,19,21,15,25
86000US63130,63130,19396,787,1078,279,2724,543,3874,506,4925,576,6795,679,16934,826,981,258,2568,558,3402,468,4065,513,5918,590,1358,349,96,77,78,61,302,232,395,170,487,191,494,211,0,20,51,65,122,85,121,98,200,105,592,211,1,6,27,34,48,36,344,186,172,96,18,30,0,20,0,20,0,20,0,20,18,30
86000US63131,63131,12433,476,185,74,849,162,1757,260,5262,362,4380,358,11338,546,179,75,739,157,1563,238,4767,399,4090,345,641,186,6,12,79,54,149,73,241,105,166,81,256,172,0,17,10,20,21,22,138,100,87,72,184,154,0,17,21,20,12,20,116,148,35,38,14,19,0,17,0,17,12,18,0,17,2,3
86000US63132,63132,8613,557,412,167,1298,304,2516,351,2164,311,2223,277,7561,577,397,169,1139,269,2246,359,1878,284,1901,237,491,208,15,18,42,58,153,106,123,71,158,111,68,64,0,17,12,26,26,30,30,49,0,17,360,256,0,17,105,105,55,89,80,48,120,133,133,77,0,17,0,17,36,29,53,59,44,36
86000US63133,63133,4607,308,872,138,1685,212,1625,180,256,86,169,89,4023,309,802,135,1448,199,1412,179,205,71,156,90,321,113,27,25,162,81,109,61,10,15,13,18,214,119,23,32,66,58,104,65,21,26,0,15,29,32,0,15,9,13,0,15,20,30,0,15,20,29,20,29,0,15,0,15,0,15,0,15
86000US63134,63134,8708,426,1213,257,2819,407,3511,434,768,237,397,148,6836,528,907,198,2155,351,2777,369,708,234,289,125,1204,309,161,117,363,177,586,219,21,19,73,89,514,245,145,100,239,193,80,56,39,48,11,17,130,87,0,17,49,68,57,39,0,17,24,30,24,25,0,17,13,16,11,20,0,17,0,17
86000US63135,63135,13653,616,1411,296,4338,475,4949,454,1842,332,1113,193,12337,628,1317,282,3956,444,4266,449,1743,333,1055,194,1008,299,50,45,315,180,529,182,77,61,37,34,129,95,44,67,38,38,28,29,15,24,4,8,179,112,0,20,29,36,126,106,7,10,17,20,0,20,0,20,0,20,0,20,0,20,0,20
86000US63136,63136,28769,1121,4712,523,10308,816,10604,859,2075,325,1070,219,24067,1084,3760,416,8489,780,8965,815,1914,317,939,204,3153,614,751,262,1052,317,1195,309,127,138,28,27,1026,349,146,96,400,210,403,176,18,28,59,82,509,247,55,68,357,217,39,64,16,25,42,39,14,17,0,23,10,15,2,5,0,23,2,3
86000US63137,63137,12411,629,1581,273,4301,506,4962,467,1103,267,464,114,10101,610,1233,266,3473,474,4003,436,1008,266,384,106,1351,334,179,90,417,187,643,237,38,38,74,71,706,230,113,72,283,149,275,111,35,35,0,20,192,105,48,44,115,104,16,25,7,14,6,9,61,58,8,12,13,16,25,30,15,23,0,20
86000US63138,63138,10902,557,1026,319,3148,334,4811,491,1270,274,647,190,9605,535,857,303,2831,292,4135,434,1136,257,646,190,890,244,147,105,152,106,477,176,113,102,1,4,195,134,22,31,68,63,84,102,21,32,0,17,212,191,0,17,97,111,115,152,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
86000US63140,63140,146,56,33,21,68,33,37,21,6,10,2,4,102,50,31,21,47,29,19,15,5,8,0,11,11,8,0,11,6,6,4,6,1,5,0,11,27,24,0,11,13,13,14,15,0,11,0,11,6,7,2,4,2,4,0,11,0,11,2,4,0,11,0,11,0,11,0,11,0,11,0,11
86000US63141,63141,14856,506,425,161,1248,228,2546,356,4876,400,5761,473,12592,436,344,148,997,204,2205,330,4097,341,4949,445,1470,312,50,41,167,98,174,127,524,156,555,192,142,84,8,17,7,15,29,33,9,16,89,59,403,162,0,20,47,46,116,87,72,60,168,93,249,183,23,38,30,36,22,23,174,175,0,20
86000US63143,63143,6959,337,478,139,1462,250,2286,298,1690,246,1043,206,6030,382,473,139,1325,244,2007,296,1352,216,873,183,474,147,0,15,82,59,139,68,144,97,109,78,307,108,5,7,21,24,94,68,137,61,50,37,148,81,0,15,34,35,46,53,57,59,11,17,0,15,0,15,0,15,0,15,0,15,0,15
86000US63144,63144,6344,330,103,88,368,129,1249,251,2478,343,2146,312,5425,379,77,75,359,130,1027,217,2149,356,1813,284,360,137,0,15,0,15,69,64,188,87,103,65,380,170,0,15,9,14,137,102,75,48,159,148,179,119,26,43,0,15,16,25,66,61,71,63,0,15,0,15,0,15,0,15,0,15,0,15
86000US63146,63146,22561,734,643,170,3059,413,5943,430,7294,539,5622,459,18673,642,470,141,2625,363,5153,412,5902,406,4523,432,2308,406,77,75,271,108,439,166,907,284,614,260,575,206,30,34,30,32,133,56,216,157,166,80,799,262,50,61,57,42,187,122,213,117,292,133,206,153,16,26,76,74,31,49,56,77,27,34
86000US63147,63147,6529,504,1321,258,2288,364,2066,340,533,140,321,117,5537,432,1063,247,2004,349,1669,265,499,143,302,113,478,162,127,74,156,79,142,71,34,36,19,30,380,230,71,60,116,71,193,200,0,15,0,15,117,65,51,39,12,15,54,48,0,15,0,15,17,18,9,13,0,15,8,11,0,15,0,15
86000US63304,63304,28568,729,1012,203,5803,514,8808,566,8060,572,4885,526,26469,744,968,204,5368,530,8248,584,7374,532,4511,487,890,237,44,38,222,115,231,93,302,151,91,56,920,245,0,23,131,70,307,147,308,133,174,112,256,117,0,23,57,43,22,33,76,63,101,64,33,30,0,23,25,27,0,23,0,23,8,12
